,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
676,19,1,0,2,1
677,1,1,2,32,1
678,11,22,0,55,4
679,0,3,2,136,1
680,1,6,1,116,1
681,1,1,2,72,1
682,3,22,0,186,4
683,9,2,0,218,1
684,1,3,2,136,1
685,2,2,0,178,1
686,0,1,0,0,1
687,2,21,0,328,4
688,0,1,2,112,1
689,8,4,0,8,1
690,46,1,0,6,1
691,0,1,2,112,1
692,5,5,0,142,1
693,19,1,0,5,1
694,1,22,1,636,4
695,5,1,0,64,1
696,1,2,1,1624,1
697,2,3,1,68,1
698,3,1,0,24,1
699,1,2,1,1024,1
700,7,2,0,418,1
701,1,2,1920,15360,1
702,24,1,0,4,1
703,0,3,2,136,1
704,5,21,0,112,4
705,6,22,0,82,4
706,0,3,2,136,1
707,1,1,1,12,1
708,0,1,1920,15360,1
709,5,2,0,355,1
710,4,3,0,28,1
711,1,1,2,112,1
712,20,22,0,23,4
713,6,2,0,114,1
714,58,6,0,0,1
715,6,6,0,22,1
716,1,3,2,680,1
717,1,1,2,104,1
718,8,2,0,344,1
719,0,6,0,0,1
720,10,22,0,48,4
721,0,2,1920,15360,1
722,3,21,0,214,4
723,78,22,0,6,4
724,1,3,2,136,1
725,2,3,960,7680,1
726,4,10,0,124,1
727,1,2,1,3456,1
728,0,1,1,12,1
729,4,2,0,272,1
730,1,2,1,3172,1
731,6,14,0,65,4
732,75,6,0,1,1
733,0,3,2,136,1
734,0,1,0,0,1
735,6,2,0,238,1
736,9,2,0,261,1
737,5,7,0,14,1
738,1,1,2,440,1
739,150,5,0,1,1
740,4,1,0,34,1
741,0,7,2,112,1
742,8,21,0,82,4
743,6,21,0,101,4
744,1,6,2,112,1
745,3,8,0,61,1
746,1,2,1,504,1
747,3,3,0,37,1
748,1,3,2,136,1
749,12,2,0,44,1
750,13,18,0,39,4
751,10,8,0,40,1
752,19,7,0,7,1
753,7,1,0,16,1
754,0,1,2,120,1
755,3,2,640,5120,1
756,8,4,0,39,1
757,6,2,0,238,1
758,0,1,1,12,1
759,2,2,0,120,1
760,1,1,1920,15360,1
761,1,22,1,504,4
762,3,1,0,69,1
763,28,14,0,21,4
764,0,3,0,0,1
765,1,22,1,528,4
766,0,3,2,136,1
767,0,1,1,12,1
768,24,2,0,122,1
769,56,2,0,5,1
770,0,1,2,112,1
771,1,2,1,2716,1
772,2,1,960,7680,1
